Date,Open,High,Low,Close,Adj Close,Volume
2019-02-04,8.620000,8.620000,8.160000,8.390000,7.870865,93811900
2019-02-11,8.410000,8.660000,8.290000,8.540000,8.011583,162471700
2019-02-18,8.530000,8.980000,8.530000,8.710000,8.171064,178924000
2019-02-25,8.770000,8.940000,8.600000,8.790000,8.246116,210717500
2019-03-04,8.830000,8.970000,8.340000,8.420000,7.899010,235480900
2019-03-11,8.460000,8.700000,8.370000,8.430000,7.908391,226562400
2019-03-18,8.450000,8.870000,8.420000,8.540000,8.011583,237838700
2019-03-25,8.560000,8.890000,8.470000,8.780000,8.236733,206474900
2019-04-01,8.860000,9.300000,8.860000,9.250000,8.677652,210353900
2019-04-08,9.180000,9.600000,9.170000,9.450000,8.865276,149703800
2019-04-15,9.480000,9.620000,9.240000,9.550000,8.959090,142688000
2019-04-22,9.580000,10.450000,9.300000,10.410000,9.765877,326741900
2019-04-29,10.360000,10.500000,10.070000,10.410000,9.922548,221184900
2019-05-06,10.120000,10.450000,10.070000,10.380000,9.893953,184518100
2019-05-13,10.170000,10.440000,10.040000,10.290000,9.808168,193711900
2019-05-20,10.300000,10.310000,9.670000,9.830000,9.369707,176327700
2019-05-27,9.870000,9.900000,9.320000,9.520000,9.074224,132928800
2019-06-03,9.620000,9.950000,9.460000,9.760000,9.302985,166375500
2019-06-10,9.890000,10.060000,9.760000,9.980000,9.512683,129173400
2019-06-17,9.990000,10.200000,9.910000,9.990000,9.522215,161017300
2019-06-24,9.950000,10.310000,9.820000,10.230000,9.750978,171018500
2019-07-01,10.340000,10.430000,10.040000,10.200000,9.722382,108885100
2019-07-08,10.200000,10.500000,10.100000,10.490000,9.998802,145896000
2019-07-15,10.490000,10.560000,10.180000,10.200000,9.722382,152804600
2019-07-22,10.130000,10.350000,9.400000,9.570000,9.121881,353579700
2019-07-29,9.600000,9.680000,9.210000,9.280000,8.977483,229704000
2019-08-05,9.180000,9.620000,9.060000,9.450000,9.141941,207070600
2019-08-12,9.390000,9.430000,8.780000,8.960000,8.667914,165302000
2019-08-19,9.050000,9.140000,8.730000,8.770000,8.484109,133344400
2019-08-26,8.880000,9.230000,8.700000,9.170000,8.871069,144128800
2019-09-02,9.180000,9.410000,9.040000,9.340000,9.035527,119574300
2019-09-09,9.390000,9.650000,9.040000,9.450000,9.141941,215666000
2019-09-16,9.360000,9.450000,9.100000,9.170000,8.871069,168025200
2019-09-23,9.130000,9.600000,9.050000,9.080000,8.784003,134669700
2019-09-30,9.110000,9.240000,8.440000,8.740000,8.455086,197861800
2019-10-07,8.700000,8.870000,8.500000,8.780000,8.493782,139575400
2019-10-14,8.820000,9.320000,8.760000,9.290000,8.987157,152540600
2019-10-21,9.190000,9.240000,8.550000,8.720000,8.435739,286027900
2019-10-28,8.760000,8.930000,8.500000,8.890000,8.741339,189571400
2019-11-04,8.930000,9.150000,8.820000,9.040000,8.888829,185901100
2019-11-11,8.950000,9.130000,8.780000,8.950000,8.800335,140985800
2019-11-18,9.050000,9.050000,8.670000,8.890000,8.741339,175859900
2019-11-25,8.900000,9.150000,8.870000,9.060000,8.908496,111167000
2019-12-02,9.080000,9.140000,8.800000,9.020000,8.869164,164724200
2019-12-09,8.970000,9.390000,8.960000,9.230000,9.075652,172920200
2019-12-16,9.240000,9.570000,9.220000,9.480000,9.321471,216174000
2019-12-23,9.500000,9.570000,9.350000,9.360000,9.203478,123900100
2019-12-30,9.340000,9.420000,9.150000,9.210000,9.055987,156883500
2020-01-06,9.100000,9.360000,9.060000,9.250000,9.095318,225965000
2020-01-13,9.250000,9.330000,9.110000,9.160000,9.006823,233368500
2020-01-20,9.150000,9.250000,8.930000,9.000000,8.849499,233420800
2020-01-27,8.880000,9.000000,8.730000,8.820000,8.672508,307631600
2020-02-03,8.850000,9.240000,8.020000,8.110000,8.110000,470501500
2020-02-10,8.150000,8.360000,8.050000,8.100000,8.100000,377544700
2020-02-17,8.120000,8.150000,7.890000,7.890000,7.890000,245407500
2020-02-24,7.700000,7.720000,6.670000,6.960000,6.960000,546595100
2020-03-02,7.110000,7.340000,6.400000,6.490000,6.490000,452815000
2020-03-09,5.970000,6.290000,5.120000,5.630000,5.630000,519190800
2020-03-16,5.040000,5.220000,4.100000,4.330000,4.330000,596481500
2020-03-23,4.270000,5.870000,3.960000,5.190000,5.190000,724668100
2020-03-30,5.110000,5.190000,4.170000,4.240000,4.240000,625406600
2020-04-06,4.540000,5.750000,4.410000,5.370000,5.370000,510211600
2020-04-13,5.430000,5.440000,4.890000,5.120000,5.120000,399865200
2020-04-20,5.010000,5.090000,4.720000,4.870000,4.870000,332190500
2020-04-27,4.910000,5.540000,4.880000,4.920000,4.920000,499796600
2020-05-04,4.880000,5.250000,4.770000,5.240000,5.240000,438463100
2020-05-11,5.180000,5.220000,4.520000,4.900000,4.900000,435497300
2020-05-18,5.120000,5.730000,5.120000,5.650000,5.650000,482517800
2020-05-25,5.920000,6.090000,5.570000,5.710000,5.710000,366429600
2020-06-01,5.730000,7.500000,5.670000,7.340000,7.340000,565249100
2020-06-08,7.530000,7.740000,6.040000,6.460000,6.460000,581208700
2020-06-15,6.180000,6.870000,6.110000,6.230000,6.230000,469538800
2020-06-22,6.270000,6.380000,5.800000,5.910000,5.910000,425981500
2020-06-29,5.910000,6.180000,5.810000,6.050000,6.050000,249842900
2020-07-06,6.140000,6.200000,5.740000,6.100000,6.100000,337906100
2020-07-13,6.150000,6.910000,6.050000,6.800000,6.800000,462238700
2020-07-20,6.800000,7.060000,6.580000,6.880000,6.880000,361279800
2020-07-27,6.920000,7.060000,6.520000,6.610000,6.610000,350505000
2020-08-03,6.650000,7.030000,6.530000,6.860000,6.860000,302088500
2020-08-10,6.910000,7.380000,6.910000,7.040000,7.040000,284024000
2020-08-17,7.050000,7.060000,6.650000,6.660000,6.660000,230140900
2020-08-24,6.730000,7.100000,6.690000,6.940000,6.940000,248802600
2020-08-31,6.900000,7.090000,6.720000,6.900000,6.900000,305461000
2020-09-07,6.830000,7.170000,6.810000,7.000000,7.000000,265559900
2020-09-14,7.010000,7.400000,6.980000,7.230000,7.230000,326928100
2020-09-21,7.090000,7.090000,6.410000,6.510000,6.510000,294889100
2020-09-28,6.590000,6.930000,6.540000,6.890000,6.890000,261653500
2020-10-05,6.950000,7.440000,6.950000,7.250000,7.250000,276718500
2020-10-12,7.360000,7.880000,7.330000,7.670000,7.670000,326910000
2020-10-19,7.680000,8.350000,7.570000,8.160000,8.160000,290646300
2020-10-26,8.040000,8.240000,7.610000,7.730000,7.730000,407569300
2020-11-02,7.830000,8.020000,7.630000,7.790000,7.790000,304753200
2020-11-09,8.110000,8.600000,8.080000,8.540000,8.540000,434164100
2020-11-16,8.740000,9.050000,8.610000,8.740000,8.740000,323064700
2020-11-23,8.820000,9.500000,8.780000,9.090000,9.090000,294129300
